地名名稱,地名別稱,所屬縣市,所屬鄉鎮市區,所屬村里,地名類型,地名意義,語言別,命名族群,相關位置與面積描述,地名沿革與文獻歷史簡述,地名相關事項訪談內容,普查使用之地圖與文獻,地圖座標(橫坐標),地圖座標(縱坐標),地名年代時間(起),地名年代時間(迄),漢語拼音,通用拼音
大暖坑,下坑仔,新北市,土城區,"頂埔里,",,"因日照充足,視野良好,有一種溫暖感覺",閩南語,,今土城頂埔里大暖路一帶,"在頂埔祖師廟後,因大暖山、大暖坑皆在此。",由大暖坑及其周圍皆以大暖命名。,土城市志、土城市行政區域圖,121.41899533753,24.952665283444,日據時代,迄今,Danuankeng,Danuankeng
頂埔派出所,大榕樹下,新北市,土城區,"頂埔里,",,因屋前大榕樹而得名,閩南語,,,"頂埔派出所在日據時代設立,轄有租田、頂新、頂福、頂埔、沛陂、永寧、大安等七里。",,土城市志,121.41817422209,24.959650273869,,迄今,"Dingpu Police Station","Dingpu Police Station"
溪頭路,溪頭、溪頭堀,新北市,土城區,"頂福里,",,"乃古""擺接溪""之源頭",閩南語,,,"昔日大安圳擺接溪之源頭故又稱""溪頭""。","乾隆年間擺接大墾首林成祖引""擺接溪""之水而築大安圳,如今在圳頭有""汲水站""及""水圳土地祠""溪頭路長約一公里;溪頭路盡頭是溪頭堀,在1953年以前未曾淤積,土城的划龍船比賽都在這裡舉行。",土城行政區域圖,121.41140594783,24.956701440797,日據時期,迄今,"Xitou Rd.","Sitou Rd."
大陸榮胞輔導中心,,新北市,土城區,"頂福里,",,,國語,,,"設置於本市中央路四段,是參與抗日戰役,負傷的國軍官兵,38年香港調景嶺民國48年9月1日成立至59年5月由退除役官兵輔導委員會接管並定名""大陸榮胞輔導中心""。",,土城市志,121.41172202048,24.953527556234,,迄今,"Dalurongbaofudao Center","Dalurongbaofudao Center"
頂埔國小,,新北市,土城區,"頂福里,",,土城頂埔分校(日據時代),閩南語,,,"創立於民國11年(日本大正十一年)4月1日原為日據時代之土城鄉公學校頂埔分教場,民國35年更名為台北縣土城鄉頂埔國民小學,學校因舊為河埔地,故操場仍可見滿地小石頭,操場廣闊,視野良好,可遠眺七份仔山。",,土城市志,121.41466890962,24.955645006768,1922,迄今,"Dingpu Elementary school","Dingpu Elementary school"
中洲仔,洲仔,新北市,土城區,"頂福里,",,河中的小沙洲,閩南語,,,"早年擺接溪的流域中,有一小沙洲,即稱為""中洲仔""後來河流改道後,""中洲仔""變成河埔新生地,居民紛紛蓋起房舍,即是今中州路一帶。",,土城行政區域圖,121.41408650606,24.956632418901,日據時期,迄今,Zhongzhouzai,Jhongjhouzai
零售市場,,新北市,土城區,"頂新里,",,"在頂新地區的大陸榮村內,為榮村買賣貨物的攤位。",國語,,,,"原頂新榮民眷村之攤位組合,是榮民眷屬自己販賣,後有外面攤位進來,形成小市集,早期附近都是農家可自給自足,但榮眷沒有田無法栽種,所以每天都到此買一些青菜等日常用品。",土城市行政區域圖,121.41540171429,24.957817094337,,迄今,"Lingshou Market","Lingshou Market"
頂新里,,新北市,土城區,頂新里,,,國語,,,"昔之頂埔村民國40年後,大陸救災總會設大陸榮家,內政部重建院,以後又設立信義新村軍眷區。","榮家之設立之後,大部分榮眷便居住在頂新村附近,使得頂新村人口大增,故在民國59年10月10日自頂埔村分出,將新建榮家重建院、信義新村,劃為""頂新村""。",土城市志,121.41356177518,24.954662291602,民國59年,迄今,"Ding New Residential Quarter","Ding New Residential Quarter"
土城區安養堂,,新北市,土城區,"頂新里,",,,,,,"抗日結束1945老兵經由經十字會安排,設退除役官兵傷殘中心,將傷殘的榮民安置於此。",,,121.41538401565,24.953928150803,,迄今,"Tucheng District Anyang Temple","Tucheng District Anyang Temple"
海山煤礦,,新北市,土城區,"永寧里,",,日治時期稱山本煤礦,國語、閩南語,,,"由台北縣平溪鄉的李建和、李建成、李建川兄弟經營,民國52年達999公頃公畝,是台灣第一個採煤機械化,煤面支撐鋼鐵化,當時共有職員約一百人,礦工及工友大約一千四百餘人,為安置員工建有礦工宿舍,當時有三十棟,每棟可容納15戶,以永寧村為範圍。產能最高峰,月產二萬公噸以上,七十三年災變(73.6.22)至七十八年三月一日正式封坑。",,土城煤業興衰史、土城市志,121.427906281,24.956367522852,1949,迄今,"Haishan Coal mine","Haishan Coal mine"
海山煤礦辦公室,,新北市,土城區,"永寧里,",,,國語、閩南語,,,,"民國48年海山煤礦,完成白色樓房辦公大樓稱""建安礦業所辦公大樓""。",土城煤業興衰史,121.42830433348,24.956239829924,,迄今,"Haishan Coal mine Office","Haishan Coal mine Office"
楊大人廟,,新北市,土城區,"永寧里,",,抗日遺址,國語、閩南語,,在土城市永安街口左邊,"此處為""大安寮抗日遺址""民國七十八年以前,尚可看見一方木牌,述說這件抗日戰役清末乙末年時,清廷割讓台灣,澎湖給日本,各地義軍蜂湧而起,是年,日軍敗於三角湧,復困於娘子坑,日軍派特務山本以廿二騎,前往偵察,行至大安寮橋,我義軍出奇圍攻,日軍死傷慘重,僅三騎逃生(據陳義興先生說法僅一人獲江姓地方人士所救,江家從此崛起)後來日人立碑志三所,昭和三年在大安圳旁山麓建立""大安寮忠魂碑""即今家福社區,另一處即今楊大人廟現址。",,"來去大安圳,回首大墓公",121.4282027017,24.963893583663,,,"Yangdaren Temple","Yangdaren Temple"
保安宮,,新北市,土城區,"永寧里,",,保土安民,國語、閩南語,,土城市永寧路29號,"祭祀廣澤尊王,是頂埔區最早的寺廟之一,座落在土城國中正對面,是早期農業社會時,頂埔人的信仰中心之一。",,,121.43077944386,24.963085221942,,迄今,"Bao-an Temple","Bao-an Temple"
六分仔,七份仔,新北市,土城區,"永寧里,",,以開墾之地得第六份和第七份者命名,閩南語,,,,"六份仔的範圍約在永和路底,直走到現在大安社區活動中心的位置,以前開墾完之後,將土地分成若干份,得到第六份的土地,便將此命名為六份仔。七份仔約在妙覺禪寺附近的平坦之地,妙覺禪氏所在之山,因七份仔之名而被叫做""七份仔山""。",,121.41967755278,24.951236027516,,,Liufenzai,Lioufenzai
抽藤光(硿),,新北市,土城區,"永寧里,",,漢人在此抽藤至外販賣,閩南語,,,"煤礦已荒廢,早期漢人至此抽藤至外販賣,後發現煤礦,範圍約在永寧路底至山區的谷中,據大正元年,台灣總督府民政部殖產課編纂""礦業便覽""中記載明治43年七月該礦區礦業人是:盧士.邱阿源。",,土城煤業興衰史,121.42461231969,24.951653351983,明治33年3月4日,迄今,"Choutengguang (Kong )","Choutengguang (Kong )"
普安堂,,新北市,土城區,"祖田里,",,"滿種煙草之地故名""芬園""",閩南語,,土城龍泉路47號,,"舊名""芬園""(台語煙園)曾種煙草之地,南方式的山門建築,堂內主祀地藏王菩薩,曾是台灣最大的金身,老住持""李應彬""先生更是國寶級畫家,秋末冬初,普安堂楓紅,遠近馳名。",土城市志,121.43960946053,24.94535532713,,迄今,"Pu-an Temple","Pu-an Temple"
殺人坪,,新北市,土城區,"祖田里,",,"法軍入侵時,此地有人反抗,被殺人數眾多",,,,,"相傳中法戰爭時,祖田義士""林李城""原為戲班之花旦,法軍侵略基隆時,林李城予以痛擊,在光緒年間揚名立萬,人人尊稱他""戲仔火""綽號。",,121.44406967442,24.943302491419,日據,迄今,Sharenping,Sharenping
媽祖田,,新北市,土城區,"祖田里,",,新莊媽祖宮所有的田地,閩南語,,,內媽祖田和外媽祖田以石門為界(石門土地公廟),"舊名大墺山,開發於乾隆戊戌年(1778),由安溪人李維芝、李武侯昆仲率移民首懇本地,後因新莊慈佑宮代收田租,故有今日""媽祖田""之由來,今整個祖田里皆為其範圍。",土城市志、土城行政區域圖,121.40975915898,24.951102873446,,迄今,Mazutian,Mazutian
媽祖田橋,,新北市,土城區,"祖田里,",,,閩南語,,,"現高架橋下(從溪頭路進)新水門在高速公路下,大嵙崁溪引水進來,流入昔日大安圳。",,土城市行政區域圖,121.41012246872,24.950599028328,,迄今,"Mazutian Bridge","Mazutian Bridge"
太子汽車工業公司,,新北市,土城區,"沛陂里,",,台北縣內較具規模之汽車製造廠,國語,,,"以貨車為生產主力,昔日此處野生大片九芎林,所以過往居民稱此""九芎林""。",,,121.42234070677,24.962585640999,,迄今,"Taiziqichegongye Company","Taizihcichegongye Company"
九芎林,,新北市,土城區,"沛陂里,",,此處原有野生大片九芎林,閩南語,,,,"在工業區太子汽車廠原址,原為大片九芎林。",,121.42378242328,24.962550749065,,,Jiucyonglin,Jioucyonglin
永福岩(清水祖師廟),,新北市,土城區,"頂埔里,",,,國語、閩南語,,,"永福岩、清水祖師肇建於明萬曆15年,泉州人鄧尚士等13人首墾立廟奉祀,民國24年(日本昭和10年)建廟定名""永福岩清水祖師廟"";民國68年起陸續完成廟頂剪黏,鐘鼓樓、神龕、金亭、金箔貼飾等修建工程,並立碑為記。",,土城市志,121.41792109919,24.958079875855,,,"Yongfuyan (Cingshuei Zushi Temple)","Yongfuyan (Cingshuei Zushih Temple)"
土地公山,,新北市,土城區,"永寧里,",,,閩南語,,"台北盆地東南邊緣,靠台北市至三峽公路西側,東距大安寮公路局約二百公尺。","為台北盆地東南邊緣較大遺址之一,由公路切斷面東南向一百公尺內嘴地帶遺物稀疏可見,由公路切斷面西北向由前段至內嶼地帶,遺物遍山,遍嶼皆有,其中心區域仍在內嶼東南部漫坡方一百五十公尺內,遺物百分之八十均在此撿獲地面並有灰土現象。",,土城市志,121.43294060008,24.962627141381,,迄今,"Tudigong Mountain","Tudigong Mountain"
三元宮,,新北市,土城區,"埤林里,",,,閩南語,,位於裕民路上,"位在裕民路上,是光緒年間創立,供奉""三官大帝""是土城的古廟之一,然已非舊貌,改建後金碧輝煌,香火鼎盛,為現今貨饒,學城埤林等里信仰中心,後方小巷的土地祠,亦是同一時期的土地公廟,為同一管理委員會管理。","三元宮已數十年,供奉堯.虞.舜,為當地人一處信仰中心,周邊都是稻田,古時候是公館路,後來才改為裕民路,交通工具為三輪車及走路為主。",土城之美、土城市志,121.45179475913,24.986425018745,,迄今,"Sanyuan Temple","Sanyuan Temple"
公館,,新北市,土城區,"樂利里,",,"墾首設租館之稱。為林姓大戶之別墅稱""林家公館""",閩南語,,,"據李乾朗老師描繪,土城市公館,肇因於林姓大戶在此建別墅安居,當時可謂鼎盛繁華,宅邸廣闊,遠近馳名,如今已失去大竹圍及半月池,馬路從前庭過,僅遺留三合院及一小片前庭。","從現在中央路二段的大同公司旁有路可進,昔日,學享、學成、中正路、樂利街都叫作""公館路""居民大都是種田、養魚池(供釣魚)或去大同公司上班,交通以三輪車,腳踏車或走路為主。",台灣舊地名沿革,121.44719385535,24.984408327972,,,Gongguan,Gongguan
土城農會,員林仔莊,新北市,土城區,"員林里,",,"指的是""下面的樹林""的意思。",國語、閩南語,,,"石早時代員林仔濱臨擺接溪(今大漢溪)由水面上遠望陸地,正好有一大片森林,略成圓形,因開墾時代的先民常以地形命名,故稱圓形的森林為""圓林""訛化為今日之""員林""員林仔的開墾在淡水廳志""擺接十七莊""的記載也有重要地位。","在附近的居民以種稻者多,作粗工也有,原農會地址在慶安街,光復後人口較多,再遷至今中央路,和中正路交叉口附近。",台灣老地名:情歸故鄉、洪英聖、淡水廳志,121.4451986505,24.978866880229,,迄今,"Tucheng Farmers' Association","Tucheng Farmers' Association"
神農宮,土城神社,新北市,土城區,,,,國語、閩南語,,,"""神農宮""是本市大廟,聳立在""農豐街""口,主祀""神農大帝"",亦稱""五殼仙帝""。(仙帝才對,不是先帝)。神農宮是五門雙殿式建築,屬重簷歇山型,氣派豪華。其三川門之楹聯是聞名寶島的前""貂山吟社""社長""姚德昌""的遺作。廟之中殿,合祀""媽祖""、""神農大帝""、""三山國王""。","日據時代為日本人拜的廟叫""土城神社""。原神農宮在慶安街及光明街交會處的水圳邊。光復後神社位址變廢墟,在地權高位重之紳士,再把宮址移回""土城神社""位址,成為在地人的信仰中心。",,121.44358067532,24.974144091382,,迄今,"Shennong Temple","Shennong Temple"
莒光四村,,新北市,土城區,,,,國語,,,"農業.石子路,輕便車。","光復後政府在此地設軍眷住宿的地方,後來取名莒光四村。前面有石子路,即現在的中央路。",,121.44690669165,24.987559698776,,,"Jyuguang Si Village","Jyuguang Sih Village"
